City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Luderitz,NA,-26.6481,15.1594,54.3,76,27,13.76,scattered clouds
80,Qaanaaq,GL,77.484,-69.3632,6.66,60,0,9.13,clear sky
81,Inuvik,CA,68.3499,-133.7218,23.86,93,90,2.3,light snow
82,Saskylakh,RU,71.9167,114.0833,5.13,96,100,7.58,overcast clouds
83,Cravo Norte,CO,6.3017,-70.2041,76.48,80,35,5.21,scattered clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,60.1,99,90,3.0,fog
85,Aykhal,RU,66.0,111.5,-6.93,96,98,7.31,overcast clouds
86,Cherskiy,RU,68.75,161.3,-7.67,96,89,8.39,overcast clouds
87,Karasjok,NO,69.4719,25.5112,39.31,98,100,12.95,overcast clouds
88,Bluff,NZ,-46.6,168.3333,59.81,59,5,23.76,clear sky
89,Dikson,RU,73.5069,80.5464,14.88,89,100,30.6,overcast clouds
90,Harper,LR,4.375,-7.7169,77.25,87,56,5.66,broken clouds
91,Olean,US,42.0776,-78.4297,36.28,97,55,4.03,broken clouds
92,Butaritari,KI,3.0707,172.7902,82.65,67,16,15.79,few clouds
93,Nome,US,64.5011,-165.4064,30.27,93,90,14.97,mist
94,Studena,CZ,49.1852,15.2869,35.15,96,5,1.01,clear sky
95,Dingle,PH,10.9995,122.6711,79.61,89,100,12.01,overcast clouds
96,Olafsvik,IS,64.8945,-23.7142,33.15,65,56,7.4,broken clouds
97,Tuatapere,NZ,-46.1333,167.6833,59.83,47,5,9.37,clear sky
98,Cap-Aux-Meules,CA,47.3821,-61.8597,46.42,71,92,5.75,overcast clouds
99,Rawson,AR,-43.3002,-65.1023,61.59,67,99,7.27,overcast clouds
100,Omboue,GA,-1.5746,9.2618,74.53,92,41,1.88,light rain
101,Sars,RU,56.5502,57.1366,19.02,79,21,3.53,few clouds
102,Zhangye,CN,38.9342,100.4517,54.25,18,0,10.69,clear sky
103,Khatanga,RU,71.9667,102.5,-7.1,98,94,7.85,overcast clouds
104,The Valley,AI,18.217,-63.0578,80.1,75,98,15.43,overcast clouds
105,Ngunguru,NZ,-35.6167,174.5,60.17,89,100,20.92,light rain
106,Touros,BR,-5.1989,-35.4608,79.7,82,7,8.59,clear sky
107,Olpad,IN,21.3333,72.75,85.98,42,6,11.79,clear sky
108,Buala,SB,-8.145,159.5921,78.85,87,100,6.73,light rain
109,Vao,NC,-22.6667,167.4833,69.93,63,91,11.03,overcast clouds
110,Suez,EG,29.9737,32.5263,66.81,74,0,6.8,clear sky
111,Nyimba,ZM,-14.5566,30.8149,79.57,43,81,1.99,broken clouds
112,Bredasdorp,ZA,-34.5322,20.0403,51.28,74,0,5.1,clear sky
113,Elliot Lake,CA,46.3834,-82.6331,33.89,65,28,4.43,scattered clouds
114,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.45,99,98,1.68,overcast clouds
115,Dunedin,NZ,-45.8742,170.5036,46.8,88,5,3.0,clear sky
116,Revelstoke,CA,50.9832,-118.2023,35.62,93,90,0.0,overcast clouds
117,Arraial Do Cabo,BR,-22.9661,-42.0278,70.93,93,13,11.99,few clouds
118,Thompson,CA,55.7435,-97.8558,21.36,93,1,2.3,clear sky
119,Manzhouli,CN,49.6,117.4333,38.48,59,96,6.22,overcast clouds
120,Mahebourg,MU,-20.4081,57.7,78.26,73,40,11.5,scattered clouds
121,Castro,BR,-24.7911,-50.0119,57.65,99,25,5.03,scattered clouds
122,Atuona,PF,-9.8,-139.0333,77.86,66,1,15.77,clear sky
123,Souillac,MU,-20.5167,57.5167,78.37,73,40,11.5,scattered clouds
124,Vardo,NO,70.3705,31.1107,43.0,88,98,26.96,overcast clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,100,90,9.22,overcast clouds
126,Abu Samrah,SY,35.3029,37.1841,60.31,83,60,4.92,broken clouds
127,Floro,NO,61.5996,5.0328,49.96,66,90,14.97,overcast clouds
128,Zhigansk,RU,66.7697,123.3711,4.12,94,100,5.01,overcast clouds
129,Celestun,MX,20.8667,-90.4,75.22,74,70,12.17,broken clouds
130,Hilo,US,19.7297,-155.09,81.28,72,1,0.0,clear sky
131,College,US,64.8569,-147.8028,32.2,89,75,0.0,broken clouds
132,Tiksi,RU,71.6872,128.8694,-10.64,100,84,3.62,broken clouds
133,Brookhaven,US,31.5791,-90.4407,56.86,80,4,5.41,clear sky
134,Kayes,ML,14.0,-11.0,80.13,49,26,3.2,scattered clouds
135,Pisco,PE,-13.7,-76.2167,64.45,88,90,6.91,overcast clouds
136,Beringovskiy,RU,63.05,179.3167,0.32,79,2,12.01,clear sky
137,Adrar,MR,20.5022,-10.0711,74.77,17,6,7.99,clear sky
138,Hami,CN,42.8,93.45,53.15,29,5,8.79,clear sky
139,Kaitangata,NZ,-46.2817,169.8464,52.36,58,2,12.91,clear sky
140,Trelew,AR,-43.249,-65.3051,63.5,62,100,6.87,overcast clouds
141,Narsaq,GL,60.9167,-46.05,41.22,98,98,6.53,light rain
142,Gorele,TR,41.0308,39.0031,60.24,68,100,6.06,overcast clouds
