City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Faanui,PF,80.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Lorengau,PG,84.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
370,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
371,Atar,MR,80.19,clear sky,20.5169,-13.0499,Oumou Elghoura
374,Bambanglipuro,ID,85.66,overcast clouds,-7.95,110.2833,Puri Brata
375,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
376,Alice Springs,AU,85.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
379,Atambua,ID,86.76,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
380,Aitape,PG,86.94,overcast clouds,-3.1374,142.3475,
385,Urucui,BR,76.17,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
386,Ongole,IN,79.65,heavy intensity rain,15.5,80.05,Hotel Kolas
387,Meulaboh,ID,78.71,overcast clouds,4.1363,96.1285,Kost Pria
391,Lar,IN,77.54,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
396,Byron Bay,AU,75.31,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
399,Gushikawa,JP,78.39,few clouds,26.3544,127.8686,Kirari Guest House
410,Vaitape,PF,80.11,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
412,Tabou,CI,77.14,broken clouds,4.423,-7.3528,hotêl doufoulougou
413,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
416,Cateel,PH,85.32,overcast clouds,7.7914,126.4533,Edar's Place
417,Pringsewu,ID,87.96,overcast clouds,-5.3582,104.9744,Urban Style by Front One
423,Sorong,ID,84.79,scattered clouds,-0.8833,131.25,waigo splash hotel
426,Malakal,SS,76.42,broken clouds,9.5334,31.6605,Nile Palace Hotel
427,Sumbe,AO,75.06,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
430,Cairns,AU,86.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
435,Davila,PH,87.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
443,Honiara,SB,81.16,moderate rain,-9.4333,159.95,Heritage Park Hotel
444,Iralaya,HN,77.47,broken clouds,15.0,-83.2333,Iglesia morava renovada
446,Yarada,IN,82.72,haze,17.65,83.2667,Vishranti
447,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
451,Carutapera,BR,77.04,overcast clouds,-1.195,-46.02,Lidera
459,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
461,Sibolga,ID,79.84,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
466,Turan,VN,85.98,few clouds,16.0678,108.2208,Sun River Hotel
471,Acajutla,SV,78.87,overcast clouds,13.5928,-89.8275,asi es
476,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
483,Bonthe,SL,77.56,broken clouds,7.5264,-12.505,Bonthe Holiday Village
486,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
501,Tura,IN,76.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
509,Kawalu,ID,84.97,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
513,La Romana,DO,78.53,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
514,West Bay,KY,81.0,broken clouds,19.3667,-81.4167,Calypso Cove
517,Taoudenni,ML,79.21,few clouds,22.6783,-3.9836,
520,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
524,Samarai,PG,83.62,few clouds,-10.6167,150.6667,Nuli Sapi
526,Saint-Leu,RE,79.95,clear sky,-21.15,55.2833,La Caz Oceane
527,Sao Jose Da Coroa Grande,BR,77.31,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
530,Port Augusta,AU,76.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
532,Media Luna,CU,75.74,clear sky,20.1419,-77.435,Casa particular Pedro y Tamara
533,Eyl,SO,78.49,scattered clouds,7.9803,49.8164,Amiin Hotel
535,Lop Buri,TH,86.92,overcast clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
537,Poya,NC,77.43,overcast clouds,-21.35,165.15,
543,Sabang,ID,82.04,moderate rain,5.8933,95.3214,Hotel Citra
546,Malpe,IN,85.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
547,Ndioum,SN,85.71,few clouds,16.5129,-14.6471,l'hôtel samassa
554,Fare,PF,79.43,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
570,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
574,Goure,NE,82.02,clear sky,13.9835,10.2704,
579,Bousso,TD,77.63,overcast clouds,10.4795,16.7117,
581,Boyolangu,ID,85.15,overcast clouds,-8.1181,111.8935,Yos ega cv
583,Rio Verde De Mato Grosso,BR,78.44,overcast clouds,-18.9181,-54.8442,Hotel Valência
589,Ko Samui,TH,82.31,thunderstorm,9.5357,99.9357,The Passage
591,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
601,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
604,Dhidhdhoo,MV,81.12,broken clouds,6.8833,73.1,Dhidhoo beach
606,Kroya,ID,84.4,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
611,Bonfim,BR,80.06,broken clouds,3.0833,-59.95,
617,Sarankhola,BD,79.43,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
618,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
627,Manggar,ID,86.43,overcast clouds,-2.8833,108.2667,Guest Hotel
631,Dicabisagan,PH,80.01,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
640,Sao Filipe,CV,80.31,few clouds,14.8961,-24.4956,Hotel Xaguate
641,Takoradi,GH,75.58,overcast clouds,4.8845,-1.7554,Raybow International Hotel
643,Curaca,BR,84.87,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
649,Lasem,ID,87.98,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Restaurant & Community Center"
655,Les Cayes,HT,75.56,clear sky,18.2,-73.75,Villa Orphee
656,Umm Lajj,SA,79.65,clear sky,25.0213,37.2685,Moon light Furnished Units
657,Nambucca Heads,AU,75.16,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
663,Beloha,MG,75.38,clear sky,-25.1667,45.05,
664,Eluru,IN,80.69,overcast clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
666,Tezu,IN,79.5,clear sky,27.9167,96.1667,Circuit House
669,Macapa,BR,80.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
670,Kupang,ID,88.38,light thunderstorm,-10.1667,123.5833,Hotel On The Rock by Prasanthi
672,Kapit,MY,89.53,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
675,Mundgod,IN,77.92,overcast clouds,14.9667,75.0333,Shreeraj Residency Lodge
678,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
679,Ranong,TH,84.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
680,Sinnamary,GF,78.49,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
683,Soreang,ID,80.26,overcast clouds,-7.0331,107.5183,Antik Hotel
687,Hingatungan,PH,83.53,overcast clouds,10.584,125.1852,
695,Maumere,ID,86.38,overcast clouds,-8.6199,122.2111,Sylvia Hotel
704,Balabac,PH,80.46,light rain,7.9868,117.0645,Sing and Swing Lodge
705,Salinopolis,BR,79.25,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
